dep,last_date,path_data,n_jobs,n_jobs_text,time,id_uuid
apurimac,26-09-2024,/data/apurimac/26-09-2024.csv,111,111 puesto(s) encontrado(s) en total.,,42d1ce41-b504-4162-9de9-adf50ebb5963
junin,26-09-2024,/data/junin/26-09-2024.csv,245,245 puesto(s) encontrado(s) en total.,,78e0bb1d-ab14-44c2-930f-69b0c2e40665
arequipa,26-09-2024,/data/arequipa/26-09-2024.csv,206,206 puesto(s) encontrado(s) en total.,,91d8034c-9bc3-4117-9f64-90456062ea2b
la_libertad,26-09-2024,/data/la_libertad/26-09-2024.csv,234,234 puesto(s) encontrado(s) en total.,,ef1ccc23-6257-45b1-8f0b-9c69507152f9
ayacucho,26-09-2024,/data/ayacucho/26-09-2024.csv,62,62 puesto(s) encontrado(s) en total.,,57eb06c2-a76e-4d34-99a9-37cd025924ec
lambayeque,26-09-2024,/data/lambayeque/26-09-2024.csv,53,53 puesto(s) encontrado(s) en total.,,9cbf6703-0731-43d4-b891-49fd3f7e26b8
loreto,26-09-2024,/data/loreto/26-09-2024.csv,54,54 puesto(s) encontrado(s) en total.,,d701fe07-ee0d-4ff3-b0bb-3c7857ee7b44
madre_de_dios,26-09-2024,/data/madre_de_dios/26-09-2024.csv,17,17 puesto(s) encontrado(s) en total.,,237a3494-323f-4411-88c9-4491e452a5ec
cajamarca,26-09-2024,/data/cajamarca/26-09-2024.csv,152,152 puesto(s) encontrado(s) en total.,,abe82be4-bfca-42d5-bc6e-6afe8373b724
moquegua,26-09-2024,/data/moquegua/26-09-2024.csv,27,27 puesto(s) encontrado(s) en total.,,2779e793-80a2-43d6-809e-e48706592dcd
callao,26-09-2024,/data/callao/26-09-2024.csv,43,43 puesto(s) encontrado(s) en total.,,4222cb87-0c36-46d3-af19-7c5ebf8ab5ce
pasco,26-09-2024,/data/pasco/26-09-2024.csv,52,52 puesto(s) encontrado(s) en total.,,675be032-087a-4f5a-8e65-479f94cd6718
piura,26-09-2024,/data/piura/26-09-2024.csv,56,56 puesto(s) encontrado(s) en total.,,1b69ae04-d31a-4013-b9a1-8851e2d3ae23
cusco,26-09-2024,/data/cusco/26-09-2024.csv,204,204 puesto(s) encontrado(s) en total.,,77bf3fb7-146f-4745-ba3e-2f33bafecf3d
puno,26-09-2024,/data/puno/26-09-2024.csv,177,177 puesto(s) encontrado(s) en total.,,ccba95a6-8bd6-4b8c-ac35-2171d7ffe601
huancavelica,26-09-2024,/data/huancavelica/26-09-2024.csv,118,118 puesto(s) encontrado(s) en total.,,5a235c83-c344-428f-a559-18030fe98b39
san_martin,26-09-2024,/data/san_martin/26-09-2024.csv,54,54 puesto(s) encontrado(s) en total.,,f60de1bd-3dd0-49e4-8f0d-5194f7f62e27
tacna,26-09-2024,/data/tacna/26-09-2024.csv,58,58 puesto(s) encontrado(s) en total.,,4ff941af-74b1-49f1-9e22-1722c0beaa65
lima,26-09-2024,/data/lima/26-09-2024.csv,1223,1223 puesto(s) encontrado(s) en total.,,45179d3f-4c8a-4ba2-9750-c3103301f9ec
tumbes,26-09-2024,/data/tumbes/26-09-2024.csv,11,11 puesto(s) encontrado(s) en total.,,1db0a4c2-adcb-4dda-a244-483ed141ecac
huanuco,26-09-2024,/data/huanuco/26-09-2024.csv,138,138 puesto(s) encontrado(s) en total.,,3691e504-2b3f-4838-93b5-b2112bcdf6b7
ica,26-09-2024,/data/ica/26-09-2024.csv,34,34 puesto(s) encontrado(s) en total.,,48bed6cf-35df-40a9-9451-62769b64b7cd
ucayali,26-09-2024,/data/ucayali/26-09-2024.csv,149,149 puesto(s) encontrado(s) en total.,,eb1d6983-92a4-4a4e-b095-2781edbb98ed
junin,26-09-2024,/data/junin/26-09-2024.csv,245,245 puesto(s) encontrado(s) en total.,,2d502871-2a19-4bd1-bb49-62617d256509
amazonas,28-09-2024,/data/amazonas/28-09-2024.csv,36,36 puesto(s) encontrado(s) en total.,,1611fa83-439e-4b25-ba50-2fc4843ea5b9
ancash,28-09-2024,/data/ancash/28-09-2024.csv,38,38 puesto(s) encontrado(s) en total.,,cadb8154-7a14-4530-88ce-4171c8ba1974
apurimac,28-09-2024,/data/apurimac/28-09-2024.csv,100,100 puesto(s) encontrado(s) en total.,,40dd05d6-a96c-4386-8750-8b5f58d4428f
junin,28-09-2024,/data/junin/28-09-2024.csv,202,202 puesto(s) encontrado(s) en total.,,3dc59fa0-b422-4a8a-86e1-0fb0747bfaba
arequipa,28-09-2024,/data/arequipa/28-09-2024.csv,84,84 puesto(s) encontrado(s) en total.,,aeda301e-5f4e-4cf8-bdff-cd219896a3a3
ayacucho,28-09-2024,/data/ayacucho/28-09-2024.csv,34,34 puesto(s) encontrado(s) en total.,,a32383a6-8cfe-4bf0-8310-4f461e4098da
la_libertad,28-09-2024,/data/la_libertad/28-09-2024.csv,175,175 puesto(s) encontrado(s) en total.,,826028ec-6bdd-4aab-8af9-79f9b4c73955
lambayeque,28-09-2024,/data/lambayeque/28-09-2024.csv,48,48 puesto(s) encontrado(s) en total.,,e9cf1c8a-5970-431b-93d2-e77d7216423c
cajamarca,28-09-2024,/data/cajamarca/28-09-2024.csv,139,139 puesto(s) encontrado(s) en total.,,1a6f1485-5cfc-4461-8f54-ad262243ea11
loreto,28-09-2024,/data/loreto/28-09-2024.csv,35,35 puesto(s) encontrado(s) en total.,,b4622fdb-328c-42ac-b6a3-a645a386944a
callao,28-09-2024,/data/callao/28-09-2024.csv,21,21 puesto(s) encontrado(s) en total.,,68d499eb-54db-4a4c-9863-1d82210f8fd9
madre_de_dios,28-09-2024,/data/madre_de_dios/28-09-2024.csv,12,12 puesto(s) encontrado(s) en total.,,eec44b62-b832-47ca-8a2c-bdac10403ce0
